source,asset,price,date,runAt
rskOracle,BTC,37166.35,2021-01-19T13:54:26.230Z,2021-01-19T15:12:24.868Z
mocOracle,BTC,36888.0,unknown,2021-01-19T15:12:24.868Z
mocOracle,RIF,0.195282489600000008,unknown,2021-01-19T15:12:24.868Z
binanace,BTC,36894.17000000,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
binanace,RIF,0.19580000,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
coingeko,RBTC,36800,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
coingeko,BTC,36950,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
coingeko,RIF,0.193784,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
kucoin,RBTC-BTC,1.00801001,2021-01-19T15:12:27.021Z,2021-01-19T15:12:24.868Z
kucoin,RIF-BTC,0.00000528,2021-01-19T15:12:23.521Z,2021-01-19T15:12:24.868Z
kucoin,BTC,36900.9,2021-01-19T15:12:33.678Z,2021-01-19T15:12:24.868Z
bitfinex,BTC,36976,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
bitfinex,RIF,0.19092,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
bkex,BTC,36896.84,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
bkex,RIF,0.1958,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
coinbene,BTC,36913.27,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
coinbene,RIF-BTC,0.00000455,2021-01-19T15:12:24.868Z,2021-01-19T15:12:24.868Z
huobi,RBTC-BTC,0,2021-01-19T15:12:39.239Z,2021-01-19T15:12:24.868Z
huobi,BTC,,2021-01-19T15:12:40.610Z,2021-01-19T15:12:24.868Z
hitbtc,BTC,36910.67,1970-01-01T00:00:02.021Z,2021-01-19T15:12:24.868Z
hitbtc,RIF-BTC,0.0000052405,2021-01-19T15:12:42.890Z,2021-01-19T15:12:24.868Z
rskOracle,BTC,36911.55,2021-01-19T15:12:28.227Z,2021-01-19T15:17:24.881Z
mocOracle,BTC,36962.010000000002037268,unknown,2021-01-19T15:17:24.881Z
mocOracle,RIF,0.196102755999999985,unknown,2021-01-19T15:17:24.881Z
binanace,BTC,37025.33000000,2021-01-19T15:17:24.881Z,2021-01-19T15:17:24.881Z
binanace,RIF,0.19630000,2021-01-19T15:17:24.881Z,2021-01-19T15:17:24.881Z
coingeko,RBTC,36672,2021-01-19T15:17:24.881Z,2021-01-19T15:17:24.881Z
coingeko,BTC,36823,2021-01-19T15:17:24.881Z,2021-01-19T15:17:24.881Z
coingeko,RIF,0.193175,2021-01-19T15:17:24.881Z,2021-01-19T15:17:24.881Z
kucoin,RBTC-BTC,1.00817791,2021-01-19T15:17:24.721Z,2021-01-19T15:17:24.881Z
kucoin,RIF-BTC,0.00000528,2021-01-19T15:17:28.521Z,2021-01-19T15:17:24.881Z
kucoin,BTC,37001.8,2021-01-19T15:17:33.575Z,2021-01-19T15:17:24.881Z
bitfinex,BTC,37101,2021-01-19T15:17:24.881Z,2021-01-19T15:17:24.881Z
bitfinex,RIF,0.19092,2021-01-19T15:17:24.881Z,2021-01-19T15:17:24.881Z
bkex,BTC,37007.01,2021-01-19T15:17:24.881Z,2021-01-19T15:17:24.881Z
bkex,RIF,0.1963,2021-01-19T15:17:24.881Z,2021-01-19T15:17:24.881Z
coinbene,BTC,37027.37,2021-01-19T15:17:24.881Z,2021-01-19T15:17:24.881Z
coinbene,RIF-BTC,0.00000444,2021-01-19T15:17:24.881Z,2021-01-19T15:17:24.881Z
huobi,RBTC-BTC,0,2021-01-19T15:17:39.352Z,2021-01-19T15:17:24.881Z
huobi,BTC,,2021-01-19T15:17:39.791Z,2021-01-19T15:17:24.881Z
hitbtc,BTC,37036.53,1970-01-01T00:00:02.021Z,2021-01-19T15:17:24.881Z
hitbtc,RIF-BTC,0.0000052405,2021-01-19T15:17:41.207Z,2021-01-19T15:17:24.881Z
rskOracle,BTC,37104.18,2021-01-19T15:21:28.392Z,2021-01-19T15:22:24.886Z
mocOracle,BTC,37107.989999999997962731,unknown,2021-01-19T15:22:24.886Z
mocOracle,RIF,0.19685788694999999,unknown,2021-01-19T15:22:24.886Z
binanace,BTC,37090.00000000,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
binanace,RIF,0.19750000,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
coingeko,RBTC,36900,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
coingeko,BTC,36860,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
coingeko,RIF,0.194123,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
kucoin,RBTC-BTC,1.00817791,2021-01-19T15:22:21.621Z,2021-01-19T15:22:24.886Z
kucoin,RIF-BTC,0.00000528,2021-01-19T15:22:30.421Z,2021-01-19T15:22:24.886Z
kucoin,BTC,37088,2021-01-19T15:22:33.476Z,2021-01-19T15:22:24.886Z
bitfinex,BTC,37166.59408,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
bitfinex,RIF,0.19092,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
bkex,BTC,37086.5,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
bkex,RIF,0.1975,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
coinbene,BTC,37081.89,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
coinbene,RIF-BTC,0.00000443,2021-01-19T15:22:24.886Z,2021-01-19T15:22:24.886Z
huobi,RBTC-BTC,0,2021-01-19T15:22:38.864Z,2021-01-19T15:22:24.886Z
huobi,BTC,,2021-01-19T15:22:39.267Z,2021-01-19T15:22:24.886Z
hitbtc,BTC,37078.65,1970-01-01T00:00:02.021Z,2021-01-19T15:22:24.886Z
hitbtc,RIF-BTC,0.0000052405,2021-01-19T15:22:39.825Z,2021-01-19T15:22:24.886Z
